game_title,author,number_of_ratings,wowie_rank,wowie_score,wowie_raw_score,fun_rank,fun_score,fun_raw_score,creativity_rank,creativity_score,creativity_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,on_topic_rank,on_topic_score,on_topic_raw_score
Behind The Screen,Hederlunden, 35,#11,4.200,4.200,#53,3.943,3.943,#6,4.486,4.486,#405,3.543,3.543,#26,4.000,4.000,#21,4.514,4.514,#46,4.229,4.229
Tricky Keys 2,"Team Bugulon, vaalentines, Oroshibu, sarn", 180,#11,4.200,4.200,#33,4.078,4.078,#27,4.239,4.239,#378,3.594,3.594,#13,4.172,4.172,#13,4.561,4.561,#88,4.050,4.050
Renegade Robots!,Chia Studios, 21,#14,4.190,4.190,#8,4.333,4.333,#34,4.190,4.190,#72,4.238,4.238,#91,3.619,3.619,#204,3.714,3.714,#37,4.238,4.238
Bibo,"Blue Peanuts, Xilurus", 37,#15,4.189,4.189,#10,4.297,4.297,#178,3.757,3.757,#221,3.919,3.919,#90,3.622,3.622,#3,4.892,4.892,#79,4.081,4.081
Do You Even Snail Bro?,karsto, 45,#16,4.178,4.178,#6,4.378,4.378,#74,4.044,4.044,#242,3.867,3.867,#33,3.911,3.911,#260,3.556,3.556,#187,3.778,3.778
Collab-O-Rat,"Khrispy, Ravathor", 38,#17,4.158,4.158,#80,3.816,3.816,#18,4.316,4.316,#261,3.842,3.842,#23,4.026,4.026,#1,4.895,4.895,#11,4.421,4.421
Welcome Simon,"D'mon22, Null Tale, Nastasia_D, MaYellow", 32,#18,4.156,4.156,#56,3.938,3.938,#46,4.156,4.156,#60,4.281,4.281,#10,4.188,4.188,#12,4.563,4.563,#66,4.125,4.125
AI 404,Cypooos, 45,#19,4.156,4.156,#37,4.000,4.000,#57,4.111,4.111,#242,3.867,3.867,#4,4.378,4.378,#33,4.422,4.422,#125,3.933,3.933
The Card Dilemma,"L0rd, Jafar Dakhan, DARK TIME, OverPixel", 35,#20,4.143,4.143,#91,3.771,3.771,#39,4.171,4.171,#75,4.229,4.229,#8,4.257,4.257,#28,4.457,4.457,#33,4.257,4.257
B.,cookiecrayon, 60,#21,4.133,4.133,#44,3.983,3.983,#9,4.417,4.417,#5,4.550,4.550,#35,3.900,3.900,#7,4.600,4.600,#54,4.183,4.183
Caged,Out There Games, 16,#22,4.125,4.125,#29,4.125,4.125,#19,4.313,4.313,#309,3.750,3.750,#63,3.750,3.750,#197,3.750,3.750,#124,3.938,3.938
2200: Discard Dungeon,Herald, 68,#23,4.118,4.118,#54,3.941,3.941,#31,4.221,4.221,#67,4.250,4.250,#81,3.647,3.647,#32,4.426,4.426,#4,4.544,4.544
Waltuh's Cooking Adventure,"NickDerMitHut, NKiwi2903", 17,#23,4.118,4.118,#3,4.412,4.412,#20,4.294,4.294,#432,3.471,3.471,#3,4.412,4.412,#10,4.588,4.588,#323,3.412,3.412
Super Loop Bros,Manuel Rincón, 19,#25,4.105,4.105,#16,4.211,4.211,#78,4.000,4.000,#101,4.158,4.158,#68,3.737,3.737,#16,4.526,4.526,#434,3.105,3.105
Artificial Unintelligence,Kingjaw, 40,#26,4.100,4.100,#17,4.200,4.200,#95,3.975,3.975,#164,4.050,4.050,#24,4.025,4.025,#58,4.275,4.275,#3,4.550,4.550
Teaching Bird 2: The Apprentice,Miniver Games, 88,#27,4.091,4.091,#5,4.386,4.386,#11,4.398,4.398,#96,4.170,4.170,#17,4.125,4.125,#88,4.125,4.125,#613,2.591,2.591
Colaboration,Nik4ant, 27,#28,4.074,4.074,#14,4.259,4.259,#234,3.630,3.630,#56,4.296,4.296,#18,4.111,4.111,#60,4.259,4.259,#409,3.185,3.185
"Cook, Slap & Run!","flavedogame, Humane Tiger, sourlyx", 28,#29,4.071,4.071,#47,3.964,3.964,#37,4.179,4.179,#289,3.786,3.786,#40,3.857,3.857,#81,4.143,4.143,#48,4.214,4.214
Ahtini,rethuna, 33,#30,4.061,4.061,#30,4.121,4.121,#232,3.636,3.636,#21,4.455,4.455,#46,3.818,3.818,#59,4.273,4.273,#95,4.030,4.030
Refract,OuterCloudStudio, 37,#31,4.054,4.054,#18,4.189,4.189,#35,4.189,4.189,#141,4.081,4.081,#52,3.784,3.784,#89,4.108,4.108,#441,3.081,3.081
Dance Robo Dance,RNGames, 19,#32,4.053,4.053,#52,3.947,3.947,#23,4.263,4.263,#200,3.947,3.947,#14,4.158,4.158,#41,4.368,4.368,#118,3.947,3.947
My Coworker is an Idiot,Manic Hyena, 40,#33,4.050,4.050,#73,3.850,3.850,#7,4.450,4.450,#116,4.125,4.125,#149,3.450,3.450,#80,4.150,4.150,#17,4.375,4.375
Circuit Circus,"Arko, TeTerka", 63,#34,4.032,4.032,#51,3.952,3.952,#44,4.159,4.159,#314,3.730,3.730,#80,3.651,3.651,#92,4.095,4.095,#30,4.302,4.302
Ruins,zhen, 43,#35,4.023,4.023,#65,3.907,3.907,#111,3.930,3.930,#407,3.535,3.535,#43,3.837,3.837,#25,4.488,4.488,#15,4.395,4.395
Race Ya!,Variable, 32,#36,4.000,4.000,#23,4.156,4.156,#156,3.813,3.813,#18,4.469,4.469,#164,3.406,3.406,#170,3.844,3.844,#1,4.625,4.625
Training Simulation02,MasterAirscrachDev, 13,#36,4.000,4.000,#75,3.846,3.846,#78,4.000,4.000,#142,4.077,4.077,#26,4.000,4.000,#169,3.846,3.846,#7,4.462,4.462
Don't anger the robo,qwertzuiopy, 18,#36,4.000,4.000,#102,3.722,3.722,#78,4.000,4.000,#335,3.667,3.667,#9,4.222,4.222,#38,4.389,4.389,#21,4.333,4.333
"Love, Kitten & a cleaner Bot",GamesByDominikWolff, 66,#39,3.970,3.970,#100,3.727,3.727,#69,4.061,4.061,#329,3.682,3.682,#70,3.712,3.712,#62,4.258,4.258,#77,4.091,4.091
"""Teeving"" Up","GoragarX, Slinon", 33,#39,3.970,3.970,#46,3.970,3.970,#283,3.515,3.515,#94,4.182,4.182,#114,3.576,3.576,#47,4.333,4.333,#29,4.303,4.303
NecroKing,"Nothing, Tucker Hux Murray, HaywireJo", 72,#41,3.958,3.958,#21,4.181,4.181,#75,4.042,4.042,#224,3.917,3.917,#11,4.181,4.181,#5,4.639,4.639,#272,3.542,3.542
Path Builder,John | bblessed, 24,#41,3.958,3.958,#94,3.750,3.750,#24,4.250,4.250,#175,4.000,4.000,#63,3.750,3.750,#144,3.917,3.917,#17,4.375,4.375
Is This Fun?,Srujanwashere, 23,#43,3.957,3.957,#37,4.000,4.000,#54,4.130,4.130,#66,4.261,4.261,#285,3.130,3.130,#537,2.783,2.783,#56,4.174,4.174
TOAST,Sheol, 22,#44,3.955,3.955,#28,4.136,4.136,#98,3.955,3.955,#111,4.136,4.136,#29,3.955,3.955,#93,4.091,4.091,#159,3.864,3.864
Time Travel factory,"d1amondzz, desstrey, 5leasure", 22,#44,3.955,3.955,#132,3.636,3.636,#154,3.818,3.818,#30,4.409,4.409,#57,3.773,3.773,#93,4.091,4.091,#12,4.409,4.409
Robo-Throw!,gamejamdude, 18,#46,3.944,3.944,#78,3.833,3.833,#127,3.889,3.889,#122,4.111,4.111,#170,3.389,3.389,#173,3.833,3.833,#21,4.333,4.333
Franky and Sparky,Team Crab Punch, 15,#47,3.933,3.933,#57,3.933,3.933,#276,3.533,3.533,#31,4.400,4.400,#76,3.667,3.667,#271,3.533,3.533,#251,3.600,3.600
H-AI plush sharks & co.,"xeetsh, Nema", 28,#48,3.929,3.929,#260,3.321,3.321,#12,4.393,4.393,#210,3.929,3.929,#19,4.107,4.107,#2,4.893,4.893,#149,3.893,3.893
CU-T3,BattlefoxStudio, 21,#49,3.905,3.905,#35,4.048,4.048,#50,4.143,4.143,#87,4.190,4.190,#48,3.810,3.810,#116,4.000,4.000,#6,4.476,4.476
Rosa of the Dead,"Boecharts, Everyth1ngNinja, just the dani", 51,#50,3.902,3.902,#79,3.824,3.824,#135,3.863,3.863,#598,3.059,3.059,#34,3.902,3.902,#45,4.353,4.353,#145,3.902,3.902
Trust  Issues,cuppa tea, 20,#51,3.900,3.900,#34,4.050,4.050,#268,3.550,3.550,#85,4.200,4.200,#99,3.600,3.600,#152,3.900,3.900,#52,4.200,4.200
BOO-by Traps,Anogrm, 50,#51,3.900,3.900,#84,3.800,3.800,#26,4.240,4.240,#158,4.060,4.060,#85,3.640,3.640,#111,4.040,4.040,#71,4.120,4.120
Two Worlds,French Dev, 48,#53,3.896,3.896,#182,3.500,3.500,#22,4.271,4.271,#502,3.313,3.313,#58,3.771,3.771,#20,4.521,4.521,#45,4.229,4.229
SPAICE,Awesome Projection, 28,#54,3.893,3.893,#37,4.000,4.000,#377,3.286,3.286,#628,2.964,2.964,#40,3.857,3.857,#26,4.464,4.464,#361,3.321,3.321
IntrusiveAI,SwiftMakesGames, 83,#55,3.892,3.892,#55,3.940,3.940,#14,4.373,4.373,#251,3.855,3.855,#258,3.181,3.181,#151,3.904,3.904,#268,3.554,3.554
A.I. Escaper,SWORDY7, 52,#56,3.885,3.885,#88,3.788,3.788,#78,4.000,4.000,#193,3.981,3.981,#75,3.673,3.673,#42,4.365,4.365,#64,4.135,4.135
"You, Me and Aliens","Kittenhunter, Norrimo", 53,#57,3.868,3.868,#149,3.604,3.604,#235,3.623,3.623,#83,4.208,4.208,#140,3.491,3.491,#35,4.415,4.415,#14,4.396,4.396
TrAIveler,mov_eax_ebx, 14,#58,3.857,3.857,#26,4.143,4.143,#78,4.000,4.000,#247,3.857,3.857,#83,3.643,3.643,#352,3.286,3.286,#48,4.214,4.214
AutoSnake,Der Mythenmann, 48,#59,3.854,3.854,#45,3.979,3.979,#33,4.208,4.208,#135,4.083,4.083,#189,3.333,3.333,#173,3.833,3.833,#53,4.188,4.188
AIr Fight,Obelex, 19,#60,3.842,3.842,#37,4.000,4.000,#16,4.368,4.368,#81,4.211,4.211,#87,3.632,3.632,#248,3.579,3.579,#25,4.316,4.316
Volley Blood,Francis L'Ectomorphe, 12,#61,3.833,3.833,#62,3.917,3.917,#78,4.000,4.000,#530,3.250,3.250,#32,3.917,3.917,#75,4.167,4.167,#170,3.833,3.833
Pitcher & Batter,outer frog, 18,#61,3.833,3.833,#32,4.111,4.111,#70,4.056,4.056,#202,3.944,3.944,#241,3.222,3.222,#378,3.222,3.222,#121,3.944,3.944
Lunar Cheese Mining Janitor,ZevDev, 18,#61,3.833,3.833,#37,4.000,4.000,#105,3.944,3.944,#34,4.389,4.389,#53,3.778,3.778,#67,4.222,4.222,#73,4.111,4.111
Botsketball,Tobbit, 26,#64,3.808,3.808,#31,4.115,4.115,#285,3.500,3.500,#11,4.500,4.500,#94,3.615,3.615,#143,3.923,3.923,#459,3.038,3.038
Almost Self Driving Car,unimportantideas, 83,#65,3.807,3.807,#145,3.614,3.614,#5,4.494,4.494,#364,3.627,3.627,#395,2.904,2.904,#191,3.771,3.771,#116,3.952,3.952
Solve The Case,andrground, 57,#66,3.807,3.807,#109,3.684,3.684,#13,4.386,4.386,#543,3.193,3.193,#462,2.719,2.719,#95,4.088,4.088,#182,3.789,3.789
BALL-E 42,"GneissKitty, Yän, putti, Pothencial", 36,#67,3.806,3.806,#283,3.250,3.250,#24,4.250,4.250,#194,3.972,3.972,#39,3.861,3.861,#160,3.861,3.861,#34,4.250,4.250
Help Me Out,IndividualKex, 20,#68,3.800,3.800,#228,3.400,3.400,#141,3.850,3.850,#5,4.550,4.550,#22,4.050,4.050,#152,3.900,3.900,#235,3.650,3.650
My new best Friend,"Waschiiiii, FavouredFool", 20,#68,3.800,3.800,#228,3.400,3.400,#78,4.000,4.000,#475,3.400,3.400,#273,3.150,3.150,#262,3.550,3.550,#9,4.450,4.450
Xtreme Ketchup Farming,FISH SLAP Guy, 69,#70,3.797,3.797,#66,3.899,3.899,#77,4.029,4.029,#463,3.435,3.435,#120,3.565,3.565,#159,3.870,3.870,#90,4.043,4.043
m(ai)ze,JustJakob, 117,#71,3.795,3.795,#123,3.650,3.650,#207,3.692,3.692,#317,3.726,3.726,#139,3.496,3.496,#185,3.778,3.778,#177,3.812,3.812
There is no AI,DucklingKnight, 43,#72,3.791,3.791,#92,3.767,3.767,#136,3.860,3.860,#109,4.140,4.140,#50,3.791,3.791,#51,4.326,4.326,#499,2.907,2.907
Help Ghosty,MarcoMLY, 14,#73,3.786,3.786,#11,4.286,4.286,#112,3.929,3.929,#105,4.143,4.143,#329,3.000,3.000,#163,3.857,3.857,#444,3.071,3.071
Nuts And Bolts,Alessio Landi, 63,#74,3.778,3.778,#451,2.841,2.841,#145,3.841,3.841,#100,4.159,4.159,#98,3.603,3.603,#22,4.508,4.508,#181,3.794,3.794
Simple Tests with J.O.N.A.S,Chowdog, 22,#75,3.773,3.773,#155,3.591,3.591,#211,3.682,3.682,#94,4.182,4.182,#134,3.500,3.500,#376,3.227,3.227,#159,3.864,3.864
The Red Core,leotti, 13,#76,3.769,3.769,#24,4.154,4.154,#171,3.769,3.769,#142,4.077,4.077,#329,3.000,3.000,#14,4.538,4.538,#304,3.462,3.462
Crypto Crashers,laserjock, 20,#77,3.750,3.750,#228,3.400,3.400,#78,4.000,4.000,#281,3.800,3.800,#149,3.450,3.450,#331,3.350,3.350,#198,3.750,3.750
Panzo,firagames, 12,#77,3.750,3.750,#182,3.500,3.500,#430,3.167,3.167,#224,3.917,3.917,#329,3.000,3.000,#334,3.333,3.333,#170,3.833,3.833
RobberyPlan,rorzz, 12,#77,3.750,3.750,#62,3.917,3.917,#3,4.667,4.667,#413,3.500,3.500,#419,2.833,2.833,#47,4.333,4.333,#322,3.417,3.417
Hacked In,Lenki387, 95,#80,3.747,3.747,#112,3.674,3.674,#195,3.726,3.726,#389,3.579,3.579,#51,3.789,3.789,#43,4.358,4.358,#325,3.400,3.400
Yes or No.io,HexagonShark, 64,#81,3.734,3.734,#70,3.859,3.859,#32,4.219,4.219,#55,4.297,4.297,#311,3.078,3.078,#348,3.297,3.297,#66,4.125,4.125
RoboCatcher,Difoldery, 15,#82,3.733,3.733,#150,3.600,3.600,#110,3.933,3.933,#152,4.067,4.067,#283,3.133,3.133,#334,3.333,3.333,#427,3.133,3.133
M.O.T.H.E.R AI,"Timevortex, blackblackberry, Trapper0711, Cass", 22,#83,3.727,3.727,#155,3.591,3.591,#36,4.182,4.182,#455,3.455,3.455,#26,4.000,4.000,#177,3.818,3.818,#77,4.091,4.091
Reverse Pac-Man,OmegaFalcon, 46,#84,3.717,3.717,#111,3.674,3.674,#158,3.804,3.804,#175,4.000,4.000,#227,3.261,3.261,#266,3.543,3.543,#47,4.217,4.217
Mettle Up!,Satan Bouchuncoin, 14,#85,3.714,3.714,#128,3.643,3.643,#78,4.000,4.000,#464,3.429,3.429,#115,3.571,3.571,#44,4.357,4.357,#261,3.571,3.571
Against All Odds,IanGoGo, 14,#85,3.714,3.714,#37,4.000,4.000,#230,3.643,3.643,#494,3.357,3.357,#30,3.929,3.929,#183,3.786,3.786,#99,4.000,4.000
Robot friend,taah, 21,#85,3.714,3.714,#160,3.571,3.571,#236,3.619,3.619,#335,3.667,3.667,#189,3.333,3.333,#149,3.905,3.905,#21,4.333,4.333
SamurA.I,"tsallast, Brent, Mangoman", 45,#88,3.711,3.711,#150,3.600,3.600,#133,3.867,3.867,#412,3.511,3.511,#151,3.444,3.444,#156,3.889,3.889,#62,4.156,4.156
Slay Together,Arnazian, 55,#89,3.709,3.709,#20,4.182,4.182,#186,3.745,3.745,#104,4.145,4.145,#74,3.691,3.691,#345,3.309,3.309,#293,3.491,3.491
Alien Intelligence,Athryell, 24,#90,3.708,3.708,#62,3.917,3.917,#42,4.167,4.167,#19,4.458,4.458,#758,1.667,1.667,#292,3.458,3.458,#66,4.125,4.125
Sonrise,trader_j0e, 24,#90,3.708,3.708,#169,3.542,3.542,#147,3.833,3.833,#335,3.667,3.667,#157,3.417,3.417,#236,3.625,3.625,#198,3.750,3.750
Auto Game,Dagon, 72,#90,3.708,3.708,#74,3.847,3.847,#176,3.764,3.764,#110,4.139,4.139,#170,3.389,3.389,#52,4.319,4.319,#143,3.903,3.903
Knights Of The Throw,Max Ponting, 17,#93,3.706,3.706,#124,3.647,3.647,#106,3.941,3.941,#160,4.059,4.059,#159,3.412,3.412,#194,3.765,3.765,#84,4.059,4.059
Artificial Stupidity,Afely, 104,#94,3.692,3.692,#48,3.962,3.962,#49,4.144,4.144,#54,4.298,4.298,#182,3.365,3.365,#180,3.808,3.808,#355,3.346,3.346
City of Darkness,nestor-2099, 13,#94,3.692,3.692,#24,4.154,4.154,#306,3.462,3.462,#142,4.077,4.077,#383,2.923,2.923,#311,3.385,3.385,#304,3.462,3.462
Mine Defuser,Shrek5x, 26,#94,3.692,3.692,#48,3.962,3.962,#63,4.077,4.077,#215,3.923,3.923,#113,3.577,3.577,#267,3.538,3.538,#165,3.846,3.846
Wireful,PiCode, 135,#97,3.681,3.681,#98,3.733,3.733,#41,4.170,4.170,#610,3.052,3.052,#108,3.585,3.585,#155,3.896,3.896,#87,4.052,4.052
Drawing With Aiby,Jonas Tyroller, 72,#98,3.681,3.681,#299,3.222,3.222,#93,3.986,3.986,#19,4.458,4.458,#25,4.014,4.014,#239,3.611,3.611,#39,4.236,4.236
HZNOR,lowlauch, 37,#99,3.676,3.676,#36,4.027,4.027,#271,3.541,3.541,#201,3.946,3.946,#62,3.757,3.757,#85,4.135,4.135,#211,3.730,3.730
Hello Roby,"Saturn91, EinsteinsErbe, Alice_sqr", 43,#100,3.674,3.674,#104,3.721,3.721,#189,3.744,3.744,#501,3.326,3.326,#152,3.442,3.442,#63,4.256,4.256,#128,3.930,3.930
AI Helper,JoaoCupido, 67,#101,3.672,3.672,#146,3.612,3.612,#219,3.657,3.657,#159,4.060,4.060,#119,3.567,3.567,#157,3.881,3.881,#130,3.925,3.925
Control Group,ChazBurgerz, 18,#102,3.667,3.667,#182,3.500,3.500,#240,3.611,3.611,#370,3.611,3.611,#290,3.111,3.111,#397,3.167,3.167,#99,4.000,4.000
Help Me Driver!,Jihad Khawaja, 12,#102,3.667,3.667,#182,3.500,3.500,#215,3.667,3.667,#335,3.667,3.667,#388,2.917,2.917,#363,3.250,3.250,#230,3.667,3.667
DodecAI,"Dr__Dirty, NCC_1701D, LenniCodes", 18,#102,3.667,3.667,#165,3.556,3.556,#337,3.389,3.389,#401,3.556,3.556,#53,3.778,3.778,#47,4.333,4.333,#394,3.222,3.222
Light Bug,"Eliane1998, Garalf", 33,#102,3.667,3.667,#132,3.636,3.636,#47,4.152,4.152,#156,4.061,4.061,#42,3.848,3.848,#29,4.455,4.455,#308,3.455,3.455
Collaborate with human,Eleocraft, 26,#106,3.654,3.654,#82,3.808,3.808,#76,4.038,4.038,#346,3.654,3.654,#188,3.346,3.346,#267,3.538,3.538,#99,4.000,4.000
Slimy Sam Codes a Robot Ship,GreenGoat, 17,#107,3.647,3.647,#174,3.529,3.529,#174,3.765,3.765,#325,3.706,3.706,#159,3.412,3.412,#139,3.941,3.941,#236,3.647,3.647
Genesis/Nemesis,Drone Garden Studios, 28,#108,3.643,3.643,#148,3.607,3.607,#125,3.893,3.893,#59,4.286,4.286,#97,3.607,3.607,#113,4.036,4.036,#93,4.036,4.036
Robo-Robbery,Arbitrary Games, 14,#108,3.643,3.643,#128,3.643,3.643,#255,3.571,3.571,#357,3.643,3.643,#243,3.214,3.214,#116,4.000,4.000,#48,4.214,4.214
Roomba OUT!,"PengGuo, GoofLeo, IDislikeNames, xiao", 14,#108,3.643,3.643,#307,3.214,3.214,#78,4.000,4.000,#210,3.929,3.929,#481,2.643,2.643,#11,4.571,4.571,#218,3.714,3.714
Robo Dance Squad,Chase of Bass, 75,#111,3.640,3.640,#195,3.480,3.480,#96,3.973,3.973,#487,3.373,3.373,#21,4.080,4.080,#77,4.160,4.160,#111,3.987,3.987
AI Legs,poorlydrawn, 47,#112,3.638,3.638,#143,3.617,3.617,#109,3.936,3.936,#126,4.106,4.106,#403,2.872,2.872,#430,3.064,3.064,#10,4.447,4.447
RougeBots: The Ultimate Dumb,agtechno101, 22,#113,3.636,3.636,#209,3.455,3.455,#194,3.727,3.727,#11,4.500,4.500,#134,3.500,3.500,#217,3.682,3.682,#140,3.909,3.909
Stupid Skull Twin,samdevstudio, 22,#113,3.636,3.636,#50,3.955,3.955,#246,3.591,3.591,#165,4.045,4.045,#162,3.409,3.409,#344,3.318,3.318,#270,3.545,3.545
Wave Drivers,J の 7, 27,#115,3.630,3.630,#67,3.889,3.889,#533,2.889,2.889,#78,4.222,4.222,#53,3.778,3.778,#202,3.741,3.741,#477,2.963,2.963
AI Love You,"Philosopher's Stone System, olipolygon", 58,#116,3.621,3.621,#310,3.207,3.207,#197,3.707,3.707,#535,3.224,3.224,#45,3.828,3.828,#37,4.397,4.397,#32,4.276,4.276
Wacky AI,WorkingClassDuck, 13,#117,3.615,3.615,#106,3.692,3.692,#338,3.385,3.385,#451,3.462,3.462,#72,3.692,3.692,#39,4.385,4.385,#331,3.385,3.385
"Cubey the Horrified Ai, and I",Samuwhale, 49,#118,3.612,3.612,#87,3.796,3.796,#179,3.755,3.755,#118,4.122,4.122,#215,3.286,3.286,#231,3.633,3.633,#99,4.000,4.000
The laboratory where the future is already a yesterday thing,"maxthetomas, kitakot", 18,#119,3.611,3.611,#90,3.778,3.778,#166,3.778,3.778,#175,4.000,4.000,#170,3.389,3.389,#378,3.222,3.222,#58,4.167,4.167
Strange Dataset,AUteam, 18,#119,3.611,3.611,#102,3.722,3.722,#8,4.444,4.444,#459,3.444,3.444,#264,3.167,3.167,#107,4.056,4.056,#151,3.889,3.889
Gall-I 1  -  Speedrawing rating AI,Kohel, 82,#121,3.610,3.610,#76,3.841,3.841,#274,3.537,3.537,#58,4.293,4.293,#350,2.988,2.988,#593,2.598,2.598,#309,3.451,3.451
Luna Loves Lasers,Moolordking, 64,#122,3.609,3.609,#252,3.344,3.344,#180,3.750,3.750,#172,4.016,4.016,#169,3.391,3.391,#100,4.078,4.078,#253,3.594,3.594
Farmers Apocalypse,Fangpower, 28,#123,3.607,3.607,#89,3.786,3.786,#242,3.607,3.607,#80,4.214,4.214,#275,3.143,3.143,#352,3.286,3.286,#242,3.643,3.643
ChessGun,"Arkeon, waterfallmean", 45,#124,3.600,3.600,#171,3.533,3.533,#94,3.978,3.978,#166,4.044,4.044,#354,2.978,2.978,#358,3.267,3.267,#125,3.933,3.933
Will You Slug,fr3dr, 15,#124,3.600,3.600,#280,3.267,3.267,#456,3.133,3.133,#207,3.933,3.933,#76,3.667,3.667,#527,2.800,2.800,#125,3.933,3.933
The Download,"Tyrant, DariGamesTM", 30,#124,3.600,3.600,#163,3.567,3.567,#301,3.467,3.467,#475,3.400,3.400,#61,3.767,3.767,#23,4.500,4.500,#302,3.467,3.467
Keep On Dreaming,"guuzz131, berend123", 15,#124,3.600,3.600,#57,3.933,3.933,#159,3.800,3.800,#443,3.467,3.467,#329,3.000,3.000,#7,4.600,4.600,#427,3.133,3.133
AI Chat,Samerezz, 30,#124,3.600,3.600,#203,3.467,3.467,#52,4.133,4.133,#175,4.000,4.000,#264,3.167,3.167,#384,3.200,3.200,#207,3.733,3.733
Helping a Toaster,Jhckiey, 22,#129,3.591,3.591,#110,3.682,3.682,#169,3.773,3.773,#197,3.955,3.955,#134,3.500,3.500,#265,3.545,3.545,#362,3.318,3.318
fl(AI)ppy robot,OssoAce, 17,#130,3.588,3.588,#124,3.647,3.647,#227,3.647,3.647,#271,3.824,3.824,#287,3.118,3.118,#329,3.353,3.353,#222,3.706,3.706
Looking for Rebecca,"square_it, Ekooo", 36,#131,3.583,3.583,#147,3.611,3.611,#206,3.694,3.694,#246,3.861,3.861,#125,3.556,3.556,#185,3.778,3.778,#58,4.167,4.167
Motherboard,"1ightningstorm, Kkhav, aisrosel, Julien Mulard", 24,#131,3.583,3.583,#182,3.500,3.500,#250,3.583,3.583,#384,3.583,3.583,#148,3.458,3.458,#197,3.750,3.750,#170,3.833,3.833
Study Buddies,camu, 24,#131,3.583,3.583,#436,2.875,2.875,#119,3.917,3.917,#135,4.083,4.083,#63,3.750,3.750,#27,4.458,4.458,#154,3.875,3.875
D.O.G eat Apple,FarawayDrip30, 19,#134,3.579,3.579,#96,3.737,3.737,#45,4.158,4.158,#50,4.316,4.316,#156,3.421,3.421,#273,3.526,3.526,#61,4.158,4.158
Sheep Wrangler!,Xsedim, 14,#135,3.571,3.571,#71,3.857,3.857,#164,3.786,3.786,#43,4.357,4.357,#115,3.571,3.571,#251,3.571,3.571,#81,4.071,4.071
Robot pant!,NotEmpty, 11,#136,3.569,3.727,#234,3.395,3.545,#117,3.917,4.091,#64,4.265,4.455,#609,2.263,2.364,#488,2.872,3.000,#55,4.178,4.364
Horse Course,TerraVito, 23,#137,3.565,3.565,#122,3.652,3.652,#191,3.739,3.739,#167,4.043,4.043,#141,3.478,3.478,#275,3.522,3.522,#27,4.304,4.304
Precisely There,Serdetay, 23,#137,3.565,3.565,#390,3.000,3.000,#165,3.783,3.783,#295,3.783,3.783,#206,3.304,3.304,#110,4.043,4.043,#65,4.130,4.130
