overall_rank,overall_score,overall_raw_score,gameplay_rank,gameplay_score,gameplay_raw_score,mood_rank,mood_score,mood_raw_score,visuals_rank,visuals_score,visuals_raw_score,audio_rank,audio_score,audio_raw_score
#38,3.673,3.673,#77,3.231,3.231,#72,3.385,3.385,#14,4.308,4.308,#21,3.769,3.769
#39,3.670,3.670,#46,3.560,3.560,#22,4.000,4.000,#60,3.680,3.680,#55,3.440,3.440
#40,3.625,3.625,#50,3.500,3.500,#29,3.875,3.875,#65,3.625,3.625,#46,3.500,3.500
#41,3.611,3.611,#39,3.611,3.611,#42,3.722,3.722,#53,3.778,3.778,#62,3.333,3.333
#42,3.603,3.603,#18,3.941,3.941,#74,3.353,3.353,#45,3.853,3.853,#72,3.265,3.265
#43,3.589,3.589,#59,3.429,3.429,#43,3.714,3.714,#25,4.071,4.071,#87,3.143,3.143
#44,3.578,3.578,#50,3.500,3.500,#69,3.438,3.438,#41,3.875,3.875,#46,3.500,3.500
#45,3.576,4.500,#70,3.311,4.167,#66,3.444,4.333,#34,3.974,5.000,#39,3.576,4.500
#46,3.573,3.573,#66,3.333,3.333,#77,3.292,3.292,#41,3.875,3.875,#20,3.792,3.792
#47,3.571,3.571,#93,3.071,3.071,#48,3.643,3.643,#35,3.929,3.929,#31,3.643,3.643
#48,3.569,3.569,#87,3.111,3.111,#33,3.833,3.833,#47,3.833,3.833,#46,3.500,3.500
#49,3.568,3.568,#151,2.455,2.455,#28,3.909,3.909,#18,4.182,4.182,#26,3.727,3.727
#50,3.554,3.554,#50,3.500,3.500,#78,3.286,3.286,#30,4.000,4.000,#58,3.429,3.429
#51,3.548,3.548,#80,3.190,3.190,#36,3.810,3.810,#69,3.571,3.571,#33,3.619,3.619
#52,3.545,3.545,#26,3.818,3.818,#59,3.545,3.545,#86,3.455,3.455,#61,3.364,3.364
#53,3.514,3.514,#32,3.714,3.714,#50,3.600,3.600,#85,3.457,3.457,#70,3.286,3.286
#53,3.514,3.514,#83,3.171,3.171,#49,3.629,3.629,#57,3.714,3.714,#42,3.543,3.543
#55,3.508,3.508,#66,3.333,3.333,#62,3.533,3.533,#63,3.667,3.667,#46,3.500,3.500
#56,3.500,3.500,#21,3.889,3.889,#58,3.556,3.556,#126,2.944,2.944,#35,3.611,3.611
#56,3.500,3.500,#74,3.286,3.286,#22,4.000,4.000,#44,3.857,3.857,#110,2.857,2.857
#58,3.495,4.071,#116,2.820,3.286,#21,4.047,4.714,#61,3.679,4.286,#56,3.434,4.000
#59,3.485,3.485,#86,3.118,3.118,#63,3.529,3.529,#58,3.706,3.706,#38,3.588,3.588
#60,3.472,3.472,#66,3.333,3.333,#64,3.500,3.500,#77,3.500,3.500,#40,3.556,3.556
#61,3.470,3.781,#19,3.900,4.250,#67,3.441,3.750,#116,3.097,3.375,#54,3.441,3.750
#62,3.467,3.467,#47,3.522,3.522,#46,3.696,3.696,#79,3.478,3.478,#84,3.174,3.174
#63,3.467,3.467,#36,3.667,3.667,#81,3.267,3.267,#95,3.333,3.333,#37,3.600,3.600
#64,3.461,3.556,#76,3.244,3.333,#53,3.569,3.667,#51,3.785,3.889,#74,3.244,3.333
#65,3.441,3.750,#88,3.097,3.375,#67,3.441,3.750,#38,3.900,4.250,#63,3.327,3.625
#65,3.441,3.750,#88,3.097,3.375,#75,3.327,3.625,#28,4.015,4.375,#63,3.327,3.625
#67,3.432,3.432,#63,3.378,3.378,#60,3.541,3.541,#68,3.595,3.595,#77,3.216,3.216
#68,3.429,3.429,#32,3.714,3.714,#98,3.095,3.095,#55,3.762,3.762,#87,3.143,3.143
#69,3.424,3.424,#150,2.465,2.465,#45,3.698,3.698,#49,3.791,3.791,#25,3.744,3.744
#70,3.423,3.423,#61,3.385,3.385,#72,3.385,3.385,#46,3.846,3.846,#95,3.077,3.077
#71,3.400,3.400,#22,3.867,3.867,#81,3.267,3.267,#102,3.267,3.267,#78,3.200,3.200
#72,3.391,3.391,#75,3.261,3.261,#94,3.130,3.130,#37,3.913,3.913,#73,3.261,3.261
#73,3.385,3.385,#34,3.692,3.692,#92,3.154,3.154,#113,3.154,3.154,#43,3.538,3.538
#74,3.380,3.472,#175,2.163,2.222,#53,3.569,3.667,#4,4.650,4.778,#90,3.136,3.222
#75,3.372,3.929,#71,3.311,3.857,#76,3.311,3.857,#72,3.556,4.143,#67,3.311,3.857
#76,3.367,3.367,#60,3.400,3.400,#71,3.400,3.400,#80,3.467,3.467,#78,3.200,3.200
#78,3.359,3.359,#96,3.063,3.063,#56,3.563,3.563,#65,3.625,3.625,#81,3.188,3.188
#78,3.359,3.359,#106,2.969,2.969,#80,3.281,3.281,#59,3.688,3.688,#46,3.500,3.500
#80,3.353,3.353,#49,3.517,3.517,#84,3.241,3.241,#94,3.345,3.345,#69,3.310,3.310
#81,3.342,3.893,#107,2.943,3.429,#47,3.679,4.286,#72,3.556,4.143,#80,3.188,3.714
#82,3.340,3.340,#24,3.840,3.840,#85,3.240,3.240,#98,3.320,3.320,#107,2.960,2.960
#83,3.328,3.328,#96,3.063,3.063,#56,3.563,3.563,#77,3.500,3.500,#81,3.188,3.188
#84,3.311,3.857,#27,3.801,4.429,#88,3.188,3.714,#127,2.943,3.429,#67,3.311,3.857
#85,3.280,3.821,#116,2.820,3.286,#38,3.801,4.429,#88,3.434,4.000,#97,3.066,3.571
#86,3.279,3.279,#100,3.000,3.000,#52,3.588,3.588,#93,3.353,3.353,#83,3.176,3.176
#87,3.276,3.276,#84,3.158,3.158,#83,3.263,3.263,#74,3.526,3.526,#86,3.158,3.158
#88,3.273,3.273,#91,3.091,3.091,#106,3.000,3.000,#86,3.455,3.455,#41,3.545,3.545
#89,3.269,3.563,#79,3.212,3.500,#96,3.097,3.375,#50,3.785,4.125,#103,2.982,3.250
#90,3.250,3.250,#78,3.214,3.214,#78,3.286,3.286,#64,3.643,3.643,#110,2.857,2.857
#91,3.233,3.233,#94,3.067,3.067,#93,3.133,3.133,#80,3.467,3.467,#71,3.267,3.267
#92,3.221,3.221,#98,3.038,3.038,#101,3.077,3.077,#56,3.731,3.731,#98,3.038,3.038
#93,3.167,3.167,#55,3.467,3.467,#106,3.000,3.000,#102,3.267,3.267,#108,2.933,2.933
#94,3.163,3.163,#73,3.304,3.304,#100,3.087,3.087,#114,3.130,3.130,#92,3.130,3.130
#95,3.158,3.679,#81,3.188,3.714,#88,3.188,3.714,#88,3.434,4.000,#114,2.820,3.286
#96,3.146,3.146,#128,2.750,2.750,#70,3.417,3.417,#104,3.250,3.250,#85,3.167,3.167
#97,3.133,3.133,#94,3.067,3.067,#50,3.600,3.600,#133,2.867,2.867,#99,3.000,3.000
#98,3.128,3.128,#126,2.757,2.757,#87,3.189,3.189,#90,3.432,3.432,#91,3.135,3.135
#99,3.118,3.118,#171,2.235,2.235,#114,2.941,2.941,#40,3.882,3.882,#59,3.412,3.412
#100,3.115,3.115,#65,3.346,3.346,#106,3.000,3.000,#92,3.385,3.385,#123,2.731,2.731
#101,3.098,3.098,#111,2.870,2.870,#91,3.174,3.174,#75,3.522,3.522,#113,2.826,2.826
#102,3.070,3.070,#113,2.860,2.860,#95,3.116,3.116,#62,3.674,3.674,#132,2.628,2.628
#103,3.000,3.000,#92,3.077,3.077,#115,2.923,2.923,#120,3.000,3.000,#99,3.000,3.000
#104,3.000,3.000,#40,3.600,3.600,#140,2.600,2.600,#120,3.000,3.000,#118,2.800,2.800
#105,2.982,3.250,#153,2.409,2.625,#86,3.212,3.500,#106,3.212,3.500,#94,3.097,3.375
#106,2.980,3.750,#57,3.444,4.333,#125,2.782,3.500,#112,3.179,4.000,#136,2.517,3.167
#107,2.968,2.968,#99,3.032,3.032,#106,3.000,3.000,#97,3.323,3.323,#139,2.516,2.516
#108,2.964,2.964,#100,3.000,3.000,#124,2.786,2.786,#105,3.214,3.214,#110,2.857,2.857
#109,2.954,3.219,#112,2.868,3.125,#96,3.097,3.375,#106,3.212,3.500,#131,2.638,2.875
#109,2.954,3.219,#88,3.097,3.375,#111,2.982,3.250,#124,2.982,3.250,#120,2.753,3.000
#109,2.954,3.219,#58,3.441,3.750,#111,2.982,3.250,#106,3.212,3.500,#155,2.179,2.375
#112,2.953,2.953,#82,3.188,3.188,#106,3.000,3.000,#161,2.500,2.500,#93,3.125,3.125
#113,2.929,2.929,#114,2.857,2.857,#129,2.762,2.762,#125,2.952,2.952,#87,3.143,3.143
#114,2.920,3.000,#156,2.379,2.444,#103,3.028,3.111,#83,3.461,3.556,#116,2.812,2.889
#115,2.904,2.904,#115,2.846,2.846,#128,2.769,2.769,#120,3.000,3.000,#99,3.000,3.000
#116,2.896,3.156,#143,2.524,2.750,#111,2.982,3.250,#139,2.753,3.000,#63,3.327,3.625
#117,2.888,2.888,#100,3.000,3.000,#118,2.900,2.900,#120,3.000,3.000,#129,2.650,2.650
#118,2.882,3.357,#158,2.330,2.714,#88,3.188,3.714,#48,3.801,4.429,#154,2.207,2.571
#119,2.882,3.357,#172,2.207,2.571,#141,2.575,3.000,#99,3.311,3.857,#56,3.434,4.000
#120,2.868,3.125,#105,2.982,3.250,#131,2.753,3.000,#139,2.753,3.000,#103,2.982,3.250
#120,2.868,3.125,#153,2.409,2.625,#131,2.753,3.000,#96,3.327,3.625,#103,2.982,3.250
#122,2.850,2.850,#147,2.467,2.467,#122,2.800,2.800,#117,3.067,3.067,#96,3.067,3.067
#123,2.841,2.841,#142,2.545,2.545,#99,3.091,3.091,#111,3.182,3.182,#135,2.545,2.545
#124,2.839,2.839,#108,2.929,2.929,#133,2.714,2.714,#91,3.429,3.429,#148,2.286,2.286
#125,2.839,2.839,#100,3.000,3.000,#143,2.571,2.571,#136,2.786,2.786,#99,3.000,3.000
#126,2.839,2.917,#118,2.812,2.889,#103,3.028,3.111,#155,2.596,2.667,#109,2.920,3.000
#127,2.793,3.850,#121,2.757,3.800,#136,2.612,3.600,#109,3.192,4.400,#133,2.612,3.600
#128,2.782,3.031,#143,2.524,2.750,#119,2.868,3.125,#139,2.753,3.000,#103,2.982,3.250
#129,2.766,2.766,#85,3.125,3.125,#152,2.438,2.438,#142,2.750,2.750,#122,2.750,2.750
#130,2.757,3.800,#148,2.467,3.400,#117,2.902,4.000,#130,2.902,4.000,#119,2.757,3.800
#131,2.748,3.458,#119,2.782,3.500,#135,2.649,3.333,#119,3.046,3.833,#136,2.517,3.167
#132,2.704,2.778,#138,2.596,2.667,#103,3.028,3.111,#162,2.487,2.556,#124,2.704,2.778
#132,2.704,2.778,#109,2.920,3.000,#154,2.379,2.444,#143,2.704,2.778,#116,2.812,2.889
#134,2.697,2.697,#69,3.316,3.316,#123,2.789,2.789,#169,2.368,2.368,#147,2.316,2.316
#135,2.682,3.375,#110,2.914,3.667,#144,2.517,3.167,#148,2.649,3.333,#130,2.649,3.333
#135,2.682,3.375,#119,2.782,3.500,#125,2.782,3.500,#148,2.649,3.333,#136,2.517,3.167
#138,2.635,2.635,#134,2.615,2.615,#134,2.692,2.692,#157,2.538,2.538,#127,2.692,2.692
#139,2.614,2.614,#173,2.182,2.182,#121,2.818,2.818,#150,2.636,2.636,#115,2.818,2.818
#140,2.612,3.600,#135,2.612,3.600,#130,2.757,3.800,#118,3.047,4.200,#165,2.031,2.800
#141,2.550,3.208,#130,2.649,3.333,#125,2.782,3.500,#137,2.782,3.500,#169,1.987,2.500
#142,2.517,3.167,#186,1.987,2.500,#116,2.914,3.667,#128,2.914,3.667,#151,2.252,2.833
#143,2.479,2.479,#170,2.250,2.250,#155,2.333,2.333,#147,2.667,2.667,#128,2.667,2.667
#144,2.466,2.688,#131,2.638,2.875,#119,2.868,3.125,#179,2.179,2.375,#155,2.179,2.375
#145,2.453,2.857,#139,2.575,3.000,#156,2.330,2.714,#175,2.207,2.571,#125,2.698,3.143
#146,2.450,2.450,#145,2.500,2.500,#169,2.100,2.100,#134,2.800,2.800,#144,2.400,2.400
#147,2.430,3.350,#121,2.757,3.800,#157,2.322,3.200,#130,2.902,4.000,#180,1.741,2.400
#147,2.430,3.350,#135,2.612,3.600,#136,2.612,3.600,#170,2.322,3.200,#157,2.176,3.000
#149,2.422,2.821,#139,2.575,3.000,#172,2.085,2.429,#156,2.575,3.000,#141,2.453,2.857
#150,2.380,2.594,#191,1.950,2.125,#159,2.294,2.500,#158,2.524,2.750,#120,2.753,3.000
#151,2.379,2.444,#13,4.110,4.222,#176,2.055,2.111,#168,2.379,2.444,#208,0.973,1.000
#152,2.375,2.375,#100,3.000,3.000,#162,2.200,2.200,#115,3.100,3.100,#198,1.200,1.200
#153,2.358,3.250,#135,2.612,3.600,#136,2.612,3.600,#180,2.176,3.000,#165,2.031,2.800
#154,2.352,2.417,#146,2.487,2.556,#146,2.487,2.556,#83,3.461,3.556,#208,0.973,1.000
#155,2.289,2.289,#157,2.368,2.368,#153,2.421,2.421,#151,2.632,2.632,#184,1.737,1.737
#156,2.285,2.875,#186,1.987,2.500,#182,1.987,2.500,#128,2.914,3.667,#151,2.252,2.833
#157,2.249,3.100,#121,2.757,3.800,#147,2.467,3.400,#163,2.467,3.400,#194,1.306,1.800
#158,2.238,2.607,#221,1.104,1.286,#150,2.453,2.857,#144,2.698,3.143,#125,2.698,3.143
#159,2.231,3.438,#178,2.109,3.250,#160,2.271,3.500,#173,2.271,3.500,#149,2.271,3.500
#160,2.219,2.792,#169,2.252,2.833,#144,2.517,3.167,#205,1.722,2.167,#145,2.384,3.000
#161,2.213,3.050,#160,2.322,3.200,#200,1.741,2.400,#152,2.612,3.600,#157,2.176,3.000
#162,2.207,2.571,#207,1.594,1.857,#184,1.962,2.286,#99,3.311,3.857,#170,1.962,2.286
#163,2.205,2.205,#180,2.091,2.091,#149,2.455,2.455,#177,2.182,2.182,#162,2.091,2.091
#164,2.177,2.536,#189,1.962,2.286,#172,2.085,2.429,#144,2.698,3.143,#170,1.962,2.286
#165,2.176,3.000,#160,2.322,3.200,#178,2.031,2.800,#195,1.886,2.600,#140,2.467,3.400
#165,2.176,3.000,#205,1.596,2.200,#147,2.467,3.400,#138,2.757,3.800,#175,1.886,2.600
#167,2.175,2.175,#129,2.700,2.700,#162,2.200,2.200,#154,2.600,2.600,#198,1.200,1.200
#168,2.163,2.222,#182,2.055,2.111,#176,2.055,2.111,#174,2.271,2.333,#150,2.271,2.333
#169,2.159,2.159,#133,2.636,2.636,#171,2.091,2.091,#177,2.182,2.182,#185,1.727,1.727
#170,2.146,2.500,#215,1.349,1.571,#150,2.453,2.857,#175,2.207,2.571,#134,2.575,3.000
#171,2.140,2.950,#148,2.467,3.400,#157,2.322,3.200,#203,1.741,2.400,#165,2.031,2.800
#171,2.140,2.950,#211,1.451,2.000,#178,2.031,2.800,#130,2.902,4.000,#157,2.176,3.000
#173,2.125,2.125,#192,1.900,1.900,#169,2.100,2.100,#134,2.800,2.800,#187,1.700,1.700
#174,2.115,2.464,#207,1.594,1.857,#184,1.962,2.286,#164,2.453,2.857,#141,2.453,2.857
#175,2.115,2.464,#189,1.962,2.286,#172,2.085,2.429,#164,2.453,2.857,#170,1.962,2.286
#176,2.104,2.900,#183,2.031,2.800,#189,1.886,2.600,#152,2.612,3.600,#175,1.886,2.600
#176,2.104,2.900,#160,2.322,3.200,#136,2.612,3.600,#180,2.176,3.000,#194,1.306,1.800
#178,2.093,2.281,#181,2.065,2.250,#164,2.179,2.375,#187,2.065,2.250,#163,2.065,2.250
#179,2.065,2.250,#153,2.409,2.625,#175,2.065,2.250,#199,1.835,2.000,#173,1.950,2.125
#180,2.053,2.583,#202,1.722,2.167,#167,2.119,2.667,#191,1.987,2.500,#145,2.384,3.000
#181,2.031,2.800,#160,2.322,3.200,#189,1.886,2.600,#180,2.176,3.000,#180,1.741,2.400
#182,2.023,2.357,#194,1.839,2.143,#197,1.839,2.143,#144,2.698,3.143,#186,1.717,2.000
#183,1.995,2.750,#205,1.596,2.200,#189,1.886,2.600,#170,2.322,3.200,#157,2.176,3.000
#183,1.995,2.750,#174,2.176,3.000,#189,1.886,2.600,#188,2.031,2.800,#175,1.886,2.600
#183,1.995,2.750,#193,1.886,2.600,#165,2.176,3.000,#195,1.886,2.600,#165,2.031,2.800
#186,1.987,3.063,#152,2.433,3.750,#160,2.271,3.500,#200,1.784,2.750,#193,1.460,2.250
#187,1.923,1.923,#176,2.154,2.154,#196,1.846,1.846,#213,1.462,1.462,#153,2.231,2.231
#188,1.923,2.650,#121,2.757,3.800,#207,1.596,2.200,#180,2.176,3.000,#200,1.161,1.600
#189,1.921,2.094,#131,2.638,2.875,#204,1.721,1.875,#172,2.294,2.500,#206,1.032,1.125
#190,1.921,2.417,#202,1.722,2.167,#195,1.854,2.333,#160,2.517,3.167,#192,1.589,2.000
#190,1.921,2.417,#177,2.119,2.667,#182,1.987,2.500,#205,1.722,2.167,#179,1.854,2.333
#192,1.906,2.938,#204,1.622,2.500,#168,2.109,3.250,#193,1.947,3.000,#174,1.947,3.000
#193,1.886,2.600,#121,2.757,3.800,#178,2.031,2.800,#188,2.031,2.800,#222,0.725,1.000
#194,1.875,1.875,#201,1.722,1.722,#188,1.944,1.944,#201,1.778,1.778,#164,2.056,2.056
#195,1.866,2.875,#168,2.271,3.500,#187,1.947,3.000,#166,2.433,3.750,#215,0.811,1.250
#195,1.866,2.875,#209,1.460,2.250,#199,1.784,2.750,#184,2.109,3.250,#161,2.109,3.250
#197,1.864,2.031,#127,2.753,3.000,#198,1.835,2.000,#192,1.950,2.125,#211,0.918,1.000
#197,1.864,2.031,#195,1.835,2.000,#186,1.950,2.125,#158,2.524,2.750,#202,1.147,1.250
#199,1.850,2.550,#199,1.741,2.400,#189,1.886,2.600,#195,1.886,2.600,#175,1.886,2.600
#199,1.850,2.550,#160,2.322,3.200,#165,2.176,3.000,#188,2.031,2.800,#212,0.871,1.200
#201,1.814,2.500,#160,2.322,3.200,#178,2.031,2.800,#221,1.161,1.600,#180,1.741,2.400
#202,1.784,2.750,#197,1.784,2.750,#206,1.622,2.500,#184,2.109,3.250,#189,1.622,2.500
#203,1.750,1.750,#167,2.294,2.294,#194,1.882,1.882,#202,1.765,1.765,#205,1.059,1.059
#204,1.741,2.400,#183,2.031,2.800,#200,1.741,2.400,#209,1.596,2.200,#190,1.596,2.200
#205,1.705,2.350,#211,1.451,2.000,#200,1.741,2.400,#195,1.886,2.600,#180,1.741,2.400
#206,1.656,2.083,#186,1.987,2.500,#213,1.457,1.833,#167,2.384,3.000,#220,0.795,1.000
#207,1.632,2.250,#183,2.031,2.800,#207,1.596,2.200,#203,1.741,2.400,#200,1.161,1.600
#208,1.622,2.500,#178,2.109,3.250,#211,1.460,2.250,#184,2.109,3.250,#215,0.811,1.250
#209,1.564,1.821,#139,2.575,3.000,#210,1.472,1.714,#216,1.349,1.571,#214,0.858,1.000
#210,1.524,2.100,#160,2.322,3.200,#200,1.741,2.400,#218,1.306,1.800,#222,0.725,1.000
#211,1.517,1.517,#196,1.800,1.800,#205,1.667,1.667,#212,1.467,1.467,#204,1.133,1.133
#212,1.501,2.313,#197,1.784,2.750,#211,1.460,2.250,#193,1.947,3.000,#215,0.811,1.250
#213,1.451,2.000,#199,1.741,2.400,#207,1.596,2.200,#209,1.596,2.200,#212,0.871,1.200
#214,1.358,2.417,#217,1.311,2.333,#222,1.124,2.000,#217,1.311,2.333,#188,1.686,3.000
#215,1.358,1.708,#216,1.325,1.667,#213,1.457,1.833,#205,1.722,2.167,#210,0.927,1.167
#216,1.342,1.850,#211,1.451,2.000,#215,1.306,1.800,#218,1.306,1.800,#194,1.306,1.800
#216,1.342,1.850,#211,1.451,2.000,#215,1.306,1.800,#209,1.596,2.200,#207,1.016,1.400
#216,1.342,1.850,#220,1.161,1.600,#220,1.161,1.600,#215,1.451,2.000,#190,1.596,2.200
#219,1.298,2.000,#222,0.973,1.500,#217,1.298,2.000,#208,1.622,2.500,#197,1.298,2.000
#220,1.257,1.938,#218,1.298,2.000,#221,1.136,1.750,#214,1.460,2.250,#203,1.136,1.750
#221,1.176,1.813,#209,1.460,2.250,#217,1.298,2.000,#222,1.136,1.750,#215,0.811,1.250
#221,1.176,1.813,#218,1.298,2.000,#217,1.298,2.000,#220,1.298,2.000,#215,0.811,1.250
#223,0.811,1.250,#224,0.811,1.250,#223,0.811,1.250,#223,0.973,1.500,#224,0.649,1.000
#224,0.796,1.417,#223,0.937,1.667,#224,0.749,1.333,#224,0.749,1.333,#221,0.749,1.333
#225,0.562,1.000,#225,0.562,1.000,#225,0.562,1.000,#225,0.562,1.000,#225,0.562,1.000
